"","schoolcode","program"
"1","50112","Home Economics"
"2","70102","General Arts"
"3","50702","Business"
"4","90501","Visual Arts"
"5","51802","Home Economics"
"6","10102","General Arts"
"7","80301","General Arts"
"8","40301","General Arts"
"9","21303","Business"
"10","80101","General Arts"
"11","100201","General Science"
"12","30603","Business"
"13","80101","Business"
"14","90301","Technical"
"15","40903","General Arts"
"16","80102","General Arts"
"17","10401","General Arts"
"18","60301","Agriculture"
"19","100102","General Arts"
"20","50501","Home Economics"
"21","80201","Agriculture"
"22","51002","General Arts"
"23","50104","General Arts"
"24","31202","General Arts"
"25","70704","Agriculture"
"26","80105","Home Economics"
"27","20501","General Arts"
"28","31201","Home Economics"
"29","51401","General Arts"
"30","81001","General Arts"
"31","10402","Technical"
"32","50501","General Arts"
"33","70105","Business"
"34","50104","Visual Arts"
"35","90302","Agriculture"
"36","30801","Home Economics"
"37","40101","General Arts"
"38","10103","General Arts"
"39","80101","General Science"
"40","50501","Agriculture"
"41","50602","General Arts"
"42","40701","Technical"
"43","40304","Agriculture"
"44","50139","General Arts"
"45","80401","General Arts"
"46","50602","Business"
"47","31201","Business"
"48","70603","General Arts"
"49","40904","Business"
"50","10128","Visual Arts"
"51","50603","General Arts"
"52","30303","General Arts"
"53","70605","Home Economics"
"54","80104","Business"
"55","51802","Business"
"56","61303","Agriculture"
"57","51302","Agriculture"
"58","30504","General Arts"
"59","61201","Business"
"60","21102","Technical"
"61","90102","Agriculture"
"62","90401","General Arts"
"63","40101","Home Economics"
"64","50603","Home Economics"
"65","10502","Visual Arts"
"66","30502","Home Economics"
"67","60701","General Arts"
"68","10114","General Arts"
"69","70602","Business"
"70","30304","General Arts"
"71","31201","Agriculture"
"72","70901","Business"
"73","40701","Agriculture"
"74","90403","Agriculture"
"75","70104","General Arts"
"76","30903","General Arts"
"77","30402","Home Economics"
"78","9030401","Fashion Design"
"79","51603","Visual Arts"
"80","51401","Agriculture"
"81","51604","Agriculture"
"82","50109","Technical"
"83","10210","General Arts"
"84","9071001","Mech. Eng. Craft Pract."
"85","30501","General Arts"
"86","30106","Business"
"87","21502","Home Economics"
"88","20702","General Arts"
"89","10203","General Arts"
"90","70801","General Science"
"91","51002","Visual Arts"
"92","50106","General Arts"
"93","30601","Home Economics"
"94","40904","Home Economics"
"95","31201","General Arts"
"96","60603","Home Economics"
"97","30902","Visual Arts"
"98","20803","Business"
"99","30801","Business"
"100","10107","Home Economics"
"101","30102","General Arts"
"102","30502","General Science"
"103","80108","Home Economics"
"104","50202","Visual Arts"
"105","70901","General Arts"
"106","40701","General Arts"
"107","51202","Technical"
"108","20103","General Arts"
"109","20401","General Arts"
"110","30702","Business"
"111","50107","General Arts"
"112","30106","General Arts"
"113","70701","General Arts"
"114","20604","Home Economics"
"115","10503","Business"
"116","90101","Home Economics"
"117","51804","Agriculture"
"118","20303","Home Economics"
"119","50105","Home Economics"
"120","70505","General Arts"
"121","30702","Home Economics"
"122","30701","Business"
"123","40501","Business"
"124","60802","Home Economics"
"125","40110","Home Economics"
"126","30502","Technical"
"127","51002","Home Economics"
"128","21002","General Arts"
"129","10106","Business"
"130","80106","Home Economics"
"131","70704","Home Economics"
"132","20106","Home Economics"
"133","10115","Technical"
"134","70110","Visual Arts"
"135","10115","General Arts"
"136","90503","General Arts"
"137","60505","Home Economics"
"138","30302","Technical"
"139","30603","Home Economics"
"140","70112","Business"
"141","9010102","Fashion Design"
"142","10101","Home Economics"
"143","40604","General Arts"
"144","81201","Home Economics"
"145","70504","Home Economics"
"146","9050101","Industrial Mechanics"
"147","30601","General Arts"
"148","21007","Home Economics"
"149","21006","General Arts"
"150","80103","Business"
"151","90602","Agriculture"
"152","40108","Home Economics"
"153","30503","Agriculture"
"154","31102","Business"
"155","30106","Home Economics"
"156","20101","Technical"
"157","20901","General Arts"
"158","50504","Home Economics"
"159","30201","General Arts"
"160","31002","Business"
"161","21001","Home Economics"
"162","30802","Business"
"163","50502","General Arts"
"164","51301","General Arts"
"165","20608","Agriculture"
"166","30502","Business"
"167","30801","General Arts"
"168","30701","General Arts"
"169","9030301","Fashion Design"
"170","20203","Agriculture"
"171","40202","General Arts"
"172","9040301","Plumbing & Gas Fitting"
"173","10107","Visual Arts"
"174","40702","General Arts"
"175","50704","Visual Arts"
"176","61003","Agriculture"
"177","20410","Home Economics"
"178","9010201","Mech. Eng. Craft Pract."
"179","60301","Business"
"180","10106","Visual Arts"
"181","9040102","Fashion Design"
"182","50204","Technical"
"183","10119","Business"
"184","30105","General Arts"
"185","51101","Agriculture"
"186","100503","General Arts"
"187","60702","Home Economics"
"188","30701","Home Economics"
"189","50108","General Arts"
"190","50704","Home Economics"
"191","40501","General Arts"
"192","20804","General Arts"
"193","40102","Home Economics"
"194","20502","Technical"
"195","21004","Business"
"196","20601","General Science"
"197","90501","Agriculture"
"198","90403","Business"
"199","31001","General Arts"
"200","70303","Agriculture"
"201","31202","Home Economics"
"202","50113","Visual Arts"
"203","10302","Technical"
"204","20402","Agriculture"
"205","10114","Business"
"206","60801","Agriculture"
"207","100501","Home Economics"
"208","21002","Visual Arts"
"209","30502","Visual Arts"
"210","100501","Agriculture"
"211","60104","General Science"
"212","30501","Business"
"213","40105","Business"
"214","21503","Business"
"215","21005","General Arts"
"216","20304","Visual Arts"
"217","10116","Business"
"218","30303","Technical"
"219","20902","Agriculture"
"220","60301","Home Economics"
"221","21304","Home Economics"
"222","21202","General Arts"
"223","30108","Agriculture"
"224","30304","Business"
"225","30601","Agriculture"
"226","60303","General Arts"
"227","30304","Visual Arts"
"228","51701","Visual Arts"
"229","9071001","Block Laying & Concreting"
"230","30902","Home Economics"
"231","50602","Home Economics"
"232","100401","Home Economics"
"233","20407","Visual Arts"
"234","10116","Visual Arts"
"235","30108","Business"
"236","50901","General Arts"
"237","51602","General Arts"
"238","9010201","Welding & Fabrication"
"239","50105","General Arts"
"240","70109","Business"
"241","100304","Visual Arts"
"242","30905","Visual Arts"
"243","50901","Agriculture"
"244","20702","Home Economics"
"245","51004","General Arts"
"246","51002","Business"
"247","50802","General Arts"
"248","30602","Agriculture"
"249","9070501","Electrical Installation Works"
"250","30302","Home Economics"
"251","21306","Visual Arts"
"252","51801","Business"
"253","50702","General Arts"
"254","50802","Home Economics"
"255","51701","Home Economics"
"256","71101","General Science"
"257","20101","Visual Arts"
"258","40201","Agriculture"
"259","20202","Home Economics"
"260","60301","General Arts"
"261","80601","Technical"
"262","9070601","Electrical Installation Works"
"263","60501","General Arts"
"264","20801","Agriculture"
"265","20501","Agriculture"
"266","20203","Technical"
"267","70704","Business"
"268","10104","Visual Arts"
"269","21002","Home Economics"
"270","30101","General Science"
"271","80501","General Arts"
"272","40701","Home Economics"
"273","10501","General Arts"
"274","60601","General Arts"
"275","10401","Visual Arts"
"276","30601","Business"
"277","70805","Business"
"278","90101","General Arts"
"279","70302","Home Economics"
"280","51601","General Arts"
"281","50201","General Science"
"282","9040101","Motor Vehicle Mech."
"283","50205","Business"
"284","50113","General Arts"
"285","51301","Home Economics"
"286","70601","General Arts"
"287","9030101","Motor Vehicle Mech."
"288","30304","Home Economics"
"289","31003","Agriculture"
"290","51203","General Arts"
"291","21504","General Arts"
"292","50202","Home Economics"
