"","schoolcode","program","averagescore"
"1",9010102,"Accounting",255.105263157895
"2",9010301,"Accounting",255.056603773585
"3",9021002,"Accounting",264
"4",9070501,"Accounting",233.1
"5",9070601,"Accounting",257.380952380952
"6",9071001,"Accounting",237.142857142857
"7",9090401,"Accounting",234.677083333333
"8",9030401,"Agric. Mechanics",260.181818181818
"9",9070601,"Agric. Mechanics",253.384615384615
"10",10101,"Agriculture",310.142857142857
"11",10103,"Agriculture",333.131578947368
"12",10105,"Agriculture",306.266666666667
"13",10110,"Agriculture",371.275
"14",10111,"Agriculture",394.8
"15",10117,"Agriculture",345.85
"16",10118,"Agriculture",303.488888888889
"17",10121,"Agriculture",361.875
"18",10203,"Agriculture",280.777777777778
"19",10204,"Agriculture",243.285714285714
"20",10301,"Agriculture",300.071428571429
"21",10302,"Agriculture",275.96
"22",10401,"Agriculture",311.875
"23",10402,"Agriculture",255.833333333333
"24",10403,"Agriculture",257.56
"25",10501,"Agriculture",334.555555555556
"26",10502,"Agriculture",306.410256410256
"27",10503,"Agriculture",267.037974683544
"28",10504,"Agriculture",276.8
"29",20104,"Agriculture",352.733333333333
"30",20105,"Agriculture",308.42
"31",20106,"Agriculture",293.6
"32",20202,"Agriculture",247.487179487179
"33",20203,"Agriculture",254.5
"34",20302,"Agriculture",313.42
"35",20303,"Agriculture",336.533333333333
"36",20304,"Agriculture",287.5
"37",20305,"Agriculture",259.92
"38",20401,"Agriculture",313.025
"39",20402,"Agriculture",363.825
"40",20403,"Agriculture",319.85
"41",20407,"Agriculture",260.5
"42",20408,"Agriculture",256.78
"43",20409,"Agriculture",238.461538461538
"44",20410,"Agriculture",262.833333333333
"45",20501,"Agriculture",300.633333333333
"46",20502,"Agriculture",255.5
"47",20503,"Agriculture",264.2875
"48",20601,"Agriculture",311
"49",20602,"Agriculture",291.955555555556
"50",20604,"Agriculture",243.933333333333
"51",20606,"Agriculture",250.87037037037
"52",20607,"Agriculture",240.975
"53",20608,"Agriculture",247.615384615385
"54",20701,"Agriculture",243.2
"55",20703,"Agriculture",252.058823529412
"56",20704,"Agriculture",256.933333333333
"57",20801,"Agriculture",257.866666666667
"58",20805,"Agriculture",237
"59",20901,"Agriculture",258.692307692308
"60",20902,"Agriculture",263.555555555556
"61",21003,"Agriculture",389.425
"62",21004,"Agriculture",273.442857142857
"63",21006,"Agriculture",293.4
"64",21008,"Agriculture",257.758620689655
"65",21101,"Agriculture",266.866666666667
"66",21104,"Agriculture",252.605263157895
"67",21201,"Agriculture",267.925
"68",21202,"Agriculture",256.675
"69",21203,"Agriculture",247.764705882353
"70",21301,"Agriculture",255.145161290323
"71",21303,"Agriculture",331.555555555556
"72",21307,"Agriculture",258.444444444444
"73",21402,"Agriculture",230.333333333333
"74",21502,"Agriculture",270.18
"75",21503,"Agriculture",242.521739130435
"76",21504,"Agriculture",246.3
"77",21505,"Agriculture",239.673684210526
"78",21601,"Agriculture",257.233333333333
"79",30101,"Agriculture",375.925
"80",30105,"Agriculture",315
"81",30108,"Agriculture",248.725
"82",30202,"Agriculture",241.862068965517
"83",30203,"Agriculture",256.057142857143
"84",30301,"Agriculture",365.975
"85",30303,"Agriculture",267.65306122449
"86",30401,"Agriculture",350.75
"87",30402,"Agriculture",220
"88",30403,"Agriculture",241.933333333333
"89",30503,"Agriculture",236.6625
"90",30504,"Agriculture",288.75
"91",30601,"Agriculture",348.128205128205
"92",30602,"Agriculture",258.52
"93",30603,"Agriculture",266.953846153846
"94",30701,"Agriculture",260
"95",30703,"Agriculture",236.3
"96",30802,"Agriculture",251.86
"97",30902,"Agriculture",299.145454545455
"98",30904,"Agriculture",238.9375
"99",30905,"Agriculture",338.8
"100",31001,"Agriculture",311.666666666667
"101",31002,"Agriculture",269.94
"102",31003,"Agriculture",273.225
"103",31101,"Agriculture",291.866666666667
"104",31102,"Agriculture",245.310344827586
"105",31201,"Agriculture",307.875
"106",31202,"Agriculture",267.93
"107",31204,"Agriculture",248.129032258065
