"","schoolcode","program","lowestscore"
"1",9010102,"Accounting",229
"2",9010301,"Accounting",210
"3",9021002,"Accounting",226
"4",9070501,"Accounting",209
"5",9070601,"Accounting",223
"6",9071001,"Accounting",223
"7",9090401,"Accounting",192
"8",9030401,"Agric. Mechanics",218
"9",9070601,"Agric. Mechanics",208
"10",10101,"Agriculture",288
"11",10103,"Agriculture",316
"12",10105,"Agriculture",260
"13",10110,"Agriculture",343
"14",10111,"Agriculture",371
"15",10117,"Agriculture",330
"16",10118,"Agriculture",273
"17",10121,"Agriculture",335
"18",10203,"Agriculture",252
"19",10204,"Agriculture",209
"20",10301,"Agriculture",278
"21",10302,"Agriculture",246
"22",10401,"Agriculture",287
"23",10402,"Agriculture",215
"24",10403,"Agriculture",207
"25",10501,"Agriculture",314
"26",10502,"Agriculture",279
"27",10503,"Agriculture",231
"28",10504,"Agriculture",247
"29",20104,"Agriculture",336
"30",20105,"Agriculture",286
"31",20106,"Agriculture",270
"32",20202,"Agriculture",211
"33",20203,"Agriculture",215
"34",20302,"Agriculture",292
"35",20303,"Agriculture",321
"36",20304,"Agriculture",266
"37",20305,"Agriculture",205
"38",20401,"Agriculture",290
"39",20402,"Agriculture",343
"40",20403,"Agriculture",295
"41",20407,"Agriculture",229
"42",20408,"Agriculture",210
"43",20409,"Agriculture",211
"44",20410,"Agriculture",228
"45",20501,"Agriculture",278
"46",20502,"Agriculture",247
"47",20503,"Agriculture",239
"48",20601,"Agriculture",288
"49",20602,"Agriculture",266
"50",20604,"Agriculture",208
"51",20606,"Agriculture",207
"52",20607,"Agriculture",202
"53",20608,"Agriculture",208
"54",20701,"Agriculture",216
"55",20703,"Agriculture",219
"56",20704,"Agriculture",228
"57",20801,"Agriculture",209
"58",20805,"Agriculture",211
"59",20901,"Agriculture",216
"60",20902,"Agriculture",205
"61",21003,"Agriculture",372
"62",21004,"Agriculture",245
"63",21006,"Agriculture",262
"64",21008,"Agriculture",221
"65",21101,"Agriculture",243
"66",21104,"Agriculture",216
"67",21201,"Agriculture",240
"68",21202,"Agriculture",213
"69",21203,"Agriculture",203
"70",21301,"Agriculture",209
"71",21303,"Agriculture",312
"72",21307,"Agriculture",216
"73",21402,"Agriculture",205
"74",21502,"Agriculture",240
"75",21503,"Agriculture",212
"76",21504,"Agriculture",210
"77",21505,"Agriculture",199
"78",21601,"Agriculture",216
"79",30101,"Agriculture",356
"80",30105,"Agriculture",290
"81",30108,"Agriculture",202
"82",30202,"Agriculture",213
"83",30203,"Agriculture",216
"84",30301,"Agriculture",332
"85",30303,"Agriculture",246
"86",30401,"Agriculture",335
"87",30402,"Agriculture",220
"88",30403,"Agriculture",219
"89",30503,"Agriculture",203
"90",30504,"Agriculture",267
"91",30601,"Agriculture",330
"92",30602,"Agriculture",233
"93",30603,"Agriculture",238
"94",30701,"Agriculture",260
"95",30703,"Agriculture",206
"96",30802,"Agriculture",228
"97",30902,"Agriculture",269
"98",30904,"Agriculture",207
"99",30905,"Agriculture",320
"100",31001,"Agriculture",291
"101",31002,"Agriculture",251
"102",31003,"Agriculture",259
"103",31101,"Agriculture",267
"104",31102,"Agriculture",207
"105",31201,"Agriculture",288
"106",31202,"Agriculture",245
"107",31204,"Agriculture",216
"108",31206,"Agriculture",212
"109",40101,"Agriculture",289
"110",40102,"Agriculture",309
"111",40106,"Agriculture",279
"112",40109,"Agriculture",223
"113",40111,"Agriculture",241
"114",40201,"Agriculture",288
"115",40202,"Agriculture",220
"116",40301,"Agriculture",241
"117",40302,"Agriculture",246
"118",40303,"Agriculture",203
"119",40304,"Agriculture",207
"120",40401,"Agriculture",223
"121",40402,"Agriculture",210
"122",40501,"Agriculture",262
"123",40502,"Agriculture",234
"124",40503,"Agriculture",211
"125",40601,"Agriculture",263
"126",40602,"Agriculture",211
"127",40603,"Agriculture",212
"128",40701,"Agriculture",266
"129",40702,"Agriculture",235
"130",40801,"Agriculture",214
"131",40802,"Agriculture",215
"132",40902,"Agriculture",249
"133",40903,"Agriculture",271
"134",40905,"Agriculture",206
"135",40906,"Agriculture",207
"136",41001,"Agriculture",208
"137",41002,"Agriculture",214
"138",41101,"Agriculture",224
"139",50104,"Agriculture",345
"140",50105,"Agriculture",348
"141",50107,"Agriculture",361
"142",50111,"Agriculture",319
"143",50113,"Agriculture",327
"144",50119,"Agriculture",241
"145",50201,"Agriculture",346
"146",50202,"Agriculture",314
"147",50203,"Agriculture",324
"148",50204,"Agriculture",272
"149",50205,"Agriculture",263
"150",50207,"Agriculture",223
"151",50301,"Agriculture",320
"152",50303,"Agriculture",243
"153",50403,"Agriculture",206
"154",50501,"Agriculture",261
"155",50502,"Agriculture",324
"156",50503,"Agriculture",273
"157",50601,"Agriculture",281
"158",50604,"Agriculture",222
"159",50606,"Agriculture",259
"160",50702,"Agriculture",263
"161",50704,"Agriculture",287
"162",50705,"Agriculture",218
"163",50801,"Agriculture",266
"164",50803,"Agriculture",238
"165",50804,"Agriculture",214
"166",50901,"Agriculture",211
"167",50902,"Agriculture",217
"168",51002,"Agriculture",331
